phrase_name,keyword_phrase,exeption_phrase, caseSens, context_ToF,destinationkeywordcolumn
SQLite,SQLite,,1,0,SQLite
Teradata,Teradata,,1,0,Teradata
SAP,sap,USAPracę|ASAP|Sapiens|Firma[[:space:]]?[[:punct:]]?[[:space:]]?Sapa|grupy[[:space:]]?[[:punct:]]?[[:space:]]?Sapa|sapa|GSAP|Nr[[:space:]]?[[:punct:]]?[[:space:]]?ref.:[[:space:]]?[[:punct:]]?[[:space:]]?SAP/2016|ISSAP|filesapplying|resourcesapplying|Sapa[[:space:]]?[[:punct:]]?[[:space:]]?jest|Sapa[[:space:]]?[[:punct:]]?[[:space:]]?i[[:space:]]?[[:punct:]]?[[:space:]]?Hydro|Sapkowski|silosapraca|SMSAPI|disappear|Sapor[[:space:]]?[[:punct:]]?[[:space:]]?Textile|needsapply|SApozyskiwanie|MSAprzeprowadzenie|asappropriate|sAppreciation|PANORAMA-SAP|asapy|ESAPI|Sapiehy|Elsapodstawowa|grupie[[:space:]]?[[:punct:]]?[[:space:]]?Sapa|asap|Sappi|sapcio|sapplying|sapir|Hansaplast|Sapphir|SAPIR|SAposzuk,1,0,SAP
Solr,Solr,,1,0,Solr
HBase,hbase,couchbase,1,0,HBase
Hive,hive,archive,1,0,Hive
Splunk,Splunk,,1,0,Splunk
MariaDB,maria,Mariacka|Marian[[:space:]]?[[:punct:]]?[[:space:]]?Gryska|Maria[[:space:]]?[[:punct:]]?[[:space:]]?i[[:space:]]?[[:punct:]]?[[:space:]]?Adrian|Mariackiej|maria.jaworowska@adecco.com|Maria[[:space:]]?[[:punct:]]?[[:space:]]?Odorowicz|Maria[[:space:]]?[[:punct:]]?[[:space:]]?Sulewska|maria.relewicz@cpljobs.pl|Marianne|mariaż|marian,1,0,MariaDB
Neo4j,Neo4j,,1,0,Neo4j
Informix,Informix,,1,0,Informix
Memcached,Memcached,,1,0,Memcached
Couchbase,Couchbase,,1,0,Couchbase
CouchDB,CouchDB,,1,0,CouchDB
Azure,azure,mazurek,1,0,Azure
Vertica,vertica,vertical,1,0,Vertica
Netezza,Netezza,,1,0,Netezza
Riak[[:space:]]?KV,riak,,1,0,Riak_KV
Ingres,ingres,ingresolve|ingresos|ingresponsibility,1,0,Ingres
dBASE,dbase,cloudbased,1,0,dBASE
Impala,Impala,,1,0,Impala
Sphinx,sphinx,Restauracj[[:alnum:]][[:space:]]?[[:punct:]]?[[:space:]]?SPHINX,1,0,Sphinx
Ehcache,Ehcache,,1,0,Ehcache
OrientDB,OrientDB,,1,0,OrientDB
Spark,spark,can[[:space:]]?[[:punct:]]?[[:space:]]?spark[[:space:]]?[[:punct:]]?[[:space:]]?new|sparkling|Spark-Lab|sparks[[:space:]]?[[:punct:]]?[[:space:]]?innovation|Sparkassen|sparkling[[:space:]]?[[:punct:]]?[[:space:]]?drinks|Sparkbit|[[:space:]]?[[:punct:]]?[[:space:]]?w[[:space:]]?[[:punct:]]?[[:space:]]?Sparku|@spark.edu.pl|we[[:space:]]?[[:punct:]]?[[:space:]]?spark[[:space:]]?[[:punct:]]?[[:space:]]?your|do[[:space:]]?[[:punct:]]?[[:space:]]?Sparka[[:space:]]?[[:punct:]]?[[:space:]]?i|ALLSPARK|sparkline|sparked,1,0,Spark
RethinkDB,rethink,rethinker|rethink[[:space:]]?[[:punct:]]?[[:space:]]?the,1,0,RethinkDB
Cloudant,Cloudant,,1,0,Cloudant
RavenDB,raven,Raven[[:space:]]?[[:punct:]]?[[:space:]]?Consulting|Raven[[:space:]]?[[:punct:]]?[[:space:]]?Sp.|Walraven|RAVEN[[:space:]]?[[:punct:]]?[[:space:]]?TAXRAVEN|Ravensburg,1,0,RavenDB
InfluxDB,influx,,1,0,InfluxDB
H2,h2,CH2M|produkcyjnych2|Oauth2|środowiska[[:space:]]?[[:punct:]]?[[:space:]]?h2o|lish2|H2O[[:space:]]?[[:punct:]]?[[:space:]]?Sp.[[:space:]]?[[:punct:]]?[[:space:]]?z[[:space:]]?[[:punct:]]?[[:space:]]?o.o.|www.h2ocreative.pl|KH20/15PR|inwestycyjnych2|DTH2Opis|H2020|e.g.[[:space:]]?[[:punct:]]?[[:space:]]?H2H|webowych2,1,0,H2
Derby,Derby,,1,0,Derby
Adabas,Adabas,,1,0,Adabas
Accumulo,Accumulo,,1,0,Accumulo
Berkeley[[:space:]]?DB,berkeley,UC[[:space:]]?[[:punct:]]?[[:space:]]?Berkeley,1,0,Berkeley_DB
UniVerse,unidata|universe,a[[:space:]]?[[:punct:]]?[[:space:]]?universe[[:space:]]?[[:punct:]]?[[:space:]]?of|universes[[:space:]]?[[:punct:]]?[[:space:]]?to|of[[:space:]]?[[:punct:]]?[[:space:]]?universe|and[[:space:]]?[[:punct:]]?[[:space:]]?universes|and[[:space:]]?[[:punct:]]?[[:space:]]?universe[[:space:]]?[[:punct:]]?[[:space:]]?development,1,0,UniVerse
Realm,realm,the[[:space:]]?[[:punct:]]?[[:space:]]?realms[[:space:]]?[[:punct:]]?[[:space:]]?of,1,0,Realm
mSQL,mSQL,,1,0,mSQL
Virtuoso,virtuoso,virtuoso[[:space:]]?[[:punct:]]?[[:space:]]?with,1,0,Virtuoso
Caché,caché,,1,0,Caché
Infinispan,Infinispan,,1,0,Infinispan
Apache[[:space:]]?Drill,drill,Exalo[[:space:]]?[[:punct:]]?[[:space:]]?Drilling|drill-through|COCCODRILLO|fire-drills|Robodrill,1,0,Apache_Drill
Datameer,Datameer,,1,0,Datameer
Jena,jena,dotacjenainnowacje|Poszukujena,1,0,Jena
4D,4d,4Do|Cinema[[:space:]]?[[:punct:]]?[[:space:]]?4D|4DEVNET|[0-9]4D|4DA17,1,0,4D
Drizzle,Drizzle,,1,0,Drizzle
Math,math|matematycz|matematyk|mathematics,,1,0,Math
Statistic,statistic|statystycz|statystyk,,1,0,Statistic
Analitics_analysis,analitic|analyst|analysis|analyze|analyzis|anality|analiz,kanalizacj,1,0,Analitics_analysis
Predictions,predict|predykc|predykt,unpredict,1,0,Predictions
Scoring,scor,trescor|scorpio|underscore|scorch|Transcorn|Rutinoscorbin|Comscore|Windscore,1,0,Scoring
Forecast,prognoz|forecast,,1,0,Forecast
Variance,variance|warianc,,1,0,Variance
KPI1,KPI,,0,0,KPI
Tableau, tableau,,1,0,Tableau
RedMine,red[[:space:]]?mine,,1,0,RedMine
Essbase,essbase,,1,0,Essbase
Economy,econom,econometry|econometri|fuel[[:space:]]?[[:punct:]]?[[:space:]]?econom,1,0,Economy
Econometry,econometry|econometri,,1,0,Econometry
GemiusPrism1,gemius[[:punct:]]?prism,,1,0,GemiusPrism
Computer_science1,informatycz|informatyk|informatic,informatica|teleinformaty,1,0,Computer_science
Unica,unica,communicat,1,0,Unica
AdWords,adwords,,1,0,AdWords
Estimations,estimat(ing)?(ions)?(es)?,estimated|estimator,1,0,Estimations
Pivot,pivot,pivotal,1,0,Pivot
Quantitative,quantitative,,1,0,Quantitative
sharePoint,sharepoint,,1,0,sharePoint
Stochastic,stochastic|stochastyczn,,1,0,Stochastic
Numerical,numerical,,1,0,Numerical
Presales1,pre[[:punct:]]?sales,,1,0,Presales
